,doc_id,source,investigation_num,modified_title,modified_creator,modified_modified,modified_occurence_date,modified_release_date,doc_length
142,142,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0095/r96t0095.html,R96T0095,Railway Investigation Report R09W0016 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-29,14 January 2009,07 July 2010,7504
143,143,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0111/r96t0111.html,R96T0111,Railway Investigation Report R09W0033 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-30,13 February 2009,26 March 2010,2309
144,144,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0137/r96t0137.html,R96T0137,Railway Investigation Report R09W0118 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-30,28 June 2009,22 July 2010,3628
145,145,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96w0171/r96w0171.html,R96W0171,Railway Investigation Report R09W0252 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-30,5 December 2009,05 January 2011,2626
146,146,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97c0147/r97c0147.html,R97C0147,,,,,,2
147,147,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97d0113/r97d0113.html,R97D0113,Railway Investigation Report R10C0016 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2015-10-22,3 February 2010,17 August 2011,2926
148,148,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97d0253/r97d0253.html,R97D0253,Railway Investigation Report R10C0086 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-31,3 August 2010,8 November 2011,3704
149,149,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97h0008/r97h0008.html,R97H0008,Railway Investigation Report R10D0077 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-31,23 September 2010,28 October 2011,2489
150,150,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97h0009/r97h0009.html,R97H0009,Railway Investigation Report R10D0088 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-31,18 October 2010,21 October 2011,2133
151,151,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97s0098/r97s0098.html,R97S0098,Railway Investigation Report R10E0056 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-04-04,4 May 2010,09 August 2011,4383
