doc_id,source,investigation_num,chunk_id,chunk_length,title,creator,modified,occurence_date,release_date
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5885,162,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5886,150,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
310,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0058/r08w0058.html,R08W0058,310_5887,34,Rail transportation safety investigation R19W0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-12-08,16 February 2019,16 February 2019
311,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0181/r08w0181.html,R08W0181,311_5888,155,Rail transportation safety investigation R19W0236 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-01-07,8 August 2019,8 August 2019
311,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0181/r08w0181.html,R08W0181,311_5889,74,Rail transportation safety investigation R19W0236 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-01-07,8 August 2019,8 August 2019
312,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0219/r08w0219.html,R08W0219,312_5890,156,Rail transportation safety investigation R19W0320 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-10-05,9 December 2019,
312,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0219/r08w0219.html,R08W0219,312_5891,164,Rail transportation safety investigation R19W0320 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-10-05,9 December 2019,
312,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08w0219/r08w0219.html,R08W0219,312_5892,85,Rail transportation safety investigation R19W0320 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-10-05,9 December 2019,
313,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09d0012/r09d0012.html,R09D0012,313_5893,160,Rail transportation safety investigation R19W0329 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-08-13,31 December 2019,
313,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09d0012/r09d0012.html,R09D0012,313_5894,133,Rail transportation safety investigation R19W0329 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-08-13,31 December 2019,
314,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09d0053/r09d0053.html,R09D0053,314_5895,169,Rail transportation safety investigation R20D0013 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2021-03-01,18 February 2020,
314,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09d0053/r09d0053.html,R09D0053,314_5896,141,Rail transportation safety investigation R20D0013 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2021-03-01,18 February 2020,
315,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0006/r09h0006.html,R09H0006,315_5897,155,Rail transportation safety investigation R20D0088 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2021-10-26,6 December 2020,6 December 2020
315,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0006/r09h0006.html,R09H0006,315_5898,101,Rail transportation safety investigation R20D0088 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2021-10-26,6 December 2020,6 December 2020
316,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0010/r09h0010.html,R09H0010,316_5899,151,Rail transportation safety investigation R20H0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-08-21,2 July 2020,
316,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0010/r09h0010.html,R09H0010,316_5900,151,Rail transportation safety investigation R20H0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-08-21,2 July 2020,
316,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0010/r09h0010.html,R09H0010,316_5901,141,Rail transportation safety investigation R20H0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-08-21,2 July 2020,
316,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0010/r09h0010.html,R09H0010,316_5902,150,Rail transportation safety investigation R20H0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-08-21,2 July 2020,
316,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0010/r09h0010.html,R09H0010,316_5903,139,Rail transportation safety investigation R20H0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-08-21,2 July 2020,
316,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0010/r09h0010.html,R09H0010,316_5904,142,Rail transportation safety investigation R20H0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-08-21,2 July 2020,
316,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0010/r09h0010.html,R09H0010,316_5905,144,Rail transportation safety investigation R20H0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-08-21,2 July 2020,
316,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0010/r09h0010.html,R09H0010,316_5906,156,Rail transportation safety investigation R20H0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-08-21,2 July 2020,
316,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09h0010/r09h0010.html,R09H0010,316_5907,107,Rail transportation safety investigation R20H0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-08-21,2 July 2020,
317,https://tsb.gc.ca/eng/rapports-reports/rail/2009/r09q0030/r09q0030.html,R09Q0030,317_5908,161,Rail transportation safety issue investigation R20H0082 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2024-09-18,2021-06-23,
